Отметка времени;Амбассадор;Выбери активность;Название заведения с Яндекс карты;Адрес с Яндекс карты;Bliss ( что стоит в работе );WHITE LINE  ( что стоит в работе );BLACK LINE  ( что стоит в работе );CIGAR LINE  ( что стоит в работе )
10.09.2025;Голев Вадим;Проезд;Air;Улица Радищева, 1;ДЫНЯ, КЛУБНИКА, ХВОЯ;;ГВОЗДИКА, КОРИЦА;
10.09.2025;Голев Вадим;Проезд;Magellan;Улица Радищева, 1;МАНГО, ХВОЯ;;ТОРФЯНОЙ ВИСКИ;
10.09.2025;Голев Вадим;Проезд;Atomic Monkey;Улица 8 Марта, 32;;;;
10.09.2025;Голев Вадим;Проезд;Нравы;Улица Радищева, 21;АПЕЛЬСИН, АРБУЗНАЯ ЖВАЧКА, КИСЛАЯ СМОРОДИНА;;;
11.09.2025;Эдуард Цепелев;Проезд;All Stars;Пермь, улица Луначарского, 99, 614068;АРБУЗНАЯ ЖВАЧКА, ДЫНЯ, КОКОС, МАЛИНА, МАЛИНОВАЯ КОЛА, МАНГО, СЛИВОЧНЫЙ КРЕМ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ;АНАНАC ФЕЙХОА, АРБУЗ ЯГОДЫ, ГАСПАЧО, ЗЕМЛЯНИКА, КИВИ СЕЛЬДЕРЕЙ, КОЛА КАРАМЕЛЬ;КОРИЦА, ЛЕДЕНЦЫ ЛИМОН ДЫНЯ, ЧЕРНИКА РОМАШКА;ДЖИН, ЗЕМЛЯНИКА, КАРАМЕЛЬ, МАЛИНА, МАНГО, ЧЁРНЫЙ ПЕРЕЦ
11.09.2025;Шарков Роман;Проезд;Юна;Республика Башкортостан, Уфа, улица Менделеева, 160/9, 450080;ДЫНЯ, КИСЛАЯ СМОРОДИНА, КОКОС, КОЛА, ЛИМОНЧЕЛЛО, МАЛИНА, МАНГО, СЛИВОЧНЫЙ КРЕМ, ЧЕРНИЧНЫЙ СОРБЕТ, PINK SHOT;;;
11.09.2025;Эдуард Цепелев;Проезд;Opera Lounge;Пермь, улица Революции, 24, 614039 • этаж 2;АПЕЛЬСИН, КОКОС, КОЛА, КРАСНЫЙ ВИНОГРАД, ЛИМОН, ПЕРСИК ЙОГУРТ, СЛИВОЧНЫЙ КРЕМ, ТРОПИЧЕСКИЙ СМУЗИ, ХВОЯ, SUPER ICE;ГРУША, ГРУША ГОРГОНЗОЛА, ЗЕЛЁНОЕ ЯБЛОКО ( БЕЗ АНИСА), ЗЕМЛЯНИКА, КИВИ СЕЛЬДЕРЕЙ, КОКОС, ЛИМОНЧЕЛЛО, СМОРОДИНА ЧАБРЕЦ, ЧЕРЁМУХА, ЧЕРНИКА ЙОГУРТ, ЯГОДНЫЙ МИЛКШЕЙК;ГВОЗДИКА, ЧЁРНАЯ СМОРОДИНА, SWITTLES( ФРУКТОВОЕ ДРАЖЕ);ДЖИН, КАРАМЕЛЬ
11.09.2025;Эдуард Цепелев;Проезд;Vaxue;Пермь, улица Революции, 24, 614039;АПЕЛЬСИН, SUPER ICE;БАРБАРИС, ВИШНЁВЫЙ СОК, ЗЕЛЁНОЕ ЯБЛОКО ( БЕЗ АНИСА), ЗЕМЛЯНИКА, МУЛЬТИФРУКТ, ОАЗИС (МАНГО ЛИЧИ АПЕЛЬСИН), ЧУПА ЭНЕРДЖИ, ЯГОДНЫЙ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);КОРИЦА, ЛАВАНДА, ЧЁРНАЯ СМОРОДИНА;ГРЕЦКИЙ, МАЛИНА, МОРКОВНЫЙ ФРЕШ, ЧЁРНЫЙ ПЕРЕЦ
11.09.2025;Дмитрий Мальков;Проезд;HookahPlace Tesla;Москва, площадь Джавахарлала Неру, 1, 119311 • этаж 3;АПЕЛЬСИН, ДЫНЯ, КОКОС, ЛИМОН, МАЛИНА, МАНГО, ПЕРСИК ЙОГУРТ, ЯГОДНЫЙ СМУЗИ;ВИНОГРАДНЫЙ НАПИТОК, ГОЛУБИКА, ЗЕЛЕНЫЙ ЧАЙ, ЗЕМЛЯНИКА, ПЕРСИК, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧЕРЁМУХА;;ГРЕЦКИЙ, КАРАМЕЛЬ, МАЛИНА, ЧЁРНЫЙ ПЕРЕЦ
11.09.2025;Шарков Роман;Проезд;Hookah Time;Республика Башкортостан, Уфа, улица Менделеева, 130;АПЕЛЬСИН, КЛУБНИКА, КРАСНЫЙ ВИНОГРАД, МАЛИНА, МАНГО, ТРОПИЧЕСКИЙ СМУЗИ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ, PINK SHOT;ГАСПАЧО, ЧЕРЁМУХА;ЧЁРНАЯ СМОРОДИНА, ЧУПА ЭНЕРДЖИ;АНАНАС
11.09.2025;Левин Роман;Проезд;Сопрано;Мачуги,66;АРБУЗНАЯ ЖВАЧКА, ДЫНЯ, КЛУБНИКА, МАНГО, ТРОПИЧЕСКИЙ СМУЗИ, ЯГОДНЫЙ СМУЗИ, PINK SHOT;;;ЗЕМЛЯНИКА, МАНГО
11.09.2025;Дмитрий Мальков;Проезд;Hookah Place;Москва, Ленинский проспект, 129, корп. 2, 117513;;МУЛЬТИФРУКТ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);;
11.09.2025;Шкуркин Иван;Проезд;Фабрика;Новосибирск, Красный проспект, 11;ПЕРСИК ЙОГУРТ, ТРОПИЧЕСКИЙ СМУЗИ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ, PINK SHOT;БАНАН, ЗЕЛЕНЫЙ ЧАЙ;ЛЕДЕНЦЫ ЛИМОН ДЫНЯ;ГРЕЦКИЙ, ЧЁРНЫЙ ПЕРЕЦ
11.09.2025;Дмитрий Гришин;Проезд;Les;Воровского 71;АПЕЛЬСИН, АРБУЗНАЯ ЖВАЧКА, ДЫНЯ, КИСЛАЯ СМОРОДИНА, КЛУБНИКА, КОКОС, КОЛА, КРАСНЫЙ ВИНОГРАД, ЛИМОН, ЛИМОНЧЕЛЛО, МАЛИНА, МАЛИНОВАЯ КОЛА, МАНГО, ПЕРСИК ЙОГУРТ, СЛИВОЧНЫЙ КРЕМ, ТРОПИЧЕСКИЙ СМУЗИ, ХВОЯ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ, PINK SHOT, SUPER ICE, КИСЛАЯ БУЗИНА, ЛАЙМ;АЛОЭ КЛУБНИКА, АНАНАC ФЕЙХОА, АРБУЗ ЯГОДЫ, БАЗИЛИК ЛАЙМ, БАРБАРИС, ВИШНЁВЫЙ СОК, ГАСПАЧО, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША, ГРУША ГОРГОНЗОЛА, ДЫНЯ ЙОГУРТ, ЁЛКИ ЯГОДЫ АНАНАС, ЗЕЛЁНОЕ ЯБЛОКО ( БЕЗ АНИСА), ЗЕЛЕНЫЙ ЧАЙ, ЗЕМЛЯНИКА, КИВИ СЕЛЬДЕРЕЙ, КИСЛАЯ МАЛИНА, КЛУБНИКА АНАНАС, КОКОС, КОЛА КАРАМЕЛЬ, ЛАВАНДА ФЕЙХОА, ЛАВАНДОВЫЙ ТОНИК, ЛЕДЯНОЙ АРБУЗ, МАЙ ТАЙ (РОМ ЛАЙМ АНАНАС МИНДАЛЬ), МАЛИНА, МАРАСКИНО ЧЕРРИ, ОАЗИС (МАНГО ЛИЧИ АПЕЛЬСИН), ПЕСОЧНОЕ ПЕЧЕНЬЕ, ПОСЛЕДНИЙ САМУРАЙ (ВАНИЛЬ ВИШНЯ ЖАСМИН), ЧЕРНИКА ЙОГУРТ, ЧУПА ЭНЕРДЖИ, ЯГОДНЫЙ, ЯГОДНЫЙ МИЛКШЕЙК, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);АРБУЗ, ГРЕЙПФРУТ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, СЛИВА АБРИКОС, ЧЁРНАЯ СМОРОДИНА, SWITTLES( ФРУКТОВОЕ ДРАЖЕ);АНАНАС, БАЗА, ГРЕЦКИЙ, ДЖИН
11.09.2025;Шарков Роман;Проезд;Shelby Lounge Bar;Республика Башкортостан, Уфа, Айская улица, 22;КРАСНЫЙ ВИНОГРАД, PINK SHOT;БАЗИЛИК ЛАЙМ, ВИШНЁВЫЙ СОК, ГОЛУБИКА, ГРУША, ДЫНЯ ЙОГУРТ, КАКТУС ПОМЕЛО, КИСЛАЯ МАЛИНА, КОКОС, ЛЕДЯНОЙ АРБУЗ, МАНДАРИН, ПЕРСИК;;
11.09.2025;Дмитрий Никулин;Проезд;742 Лаунж бар;Москва, Новомосковский административный округ, район Коммунарка, бульвар Веласкеса, 3, корп. 3, 108802;;;;
11.09.2025;Левин Роман;Проезд;SM Lounge ;Краснодар, Сормовская улица, 2;;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША ГОРГОНЗОЛА, КАКТУС ПОМЕЛО, МАРАКУЙЯ, ЧУПА ЭНЕРДЖИ;;
11.09.2025;Дмитрий Никулин;Проезд;Spanish lounge;Москва, Новомосковский административный округ, район Коммунарка, бульвар Веласкеса, 5, корп. 1;;ЗЕЛЕНЫЙ ЧАЙ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);;
