Отметка времени;Амбассадор;Выбери активность;Название заведения с Яндекс карты;Адрес с Яндекс карты;Bliss ( что стоит в работе );WHITE LINE  ( что стоит в работе );BLACK LINE  ( что стоит в работе );CIGAR LINE  ( что стоит в работе )
29.10.2025;Шарков Роман;Проезд;Смена Театро;Санкт-Петербург, набережная канала Грибоедова, 31, 191181;;ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧУПА ЭНЕРДЖИ, АРБУЗ ДЫНЯ;;ГРЕЦКИЙ, ДЖИН, КАРАМЕЛЬ
29.10.2025;Левин Роман;Проезд;Lounge 13;Краснодар, Центральный внутригородской округ, микрорайон Центральный, улица Ленина, 11;;;;
29.10.2025;Левин Роман;Проезд;Бюро(бывшая Мята) ;Краснодар, микрорайон Центральный, улица Кубанская Набережная, 39/2;ЛИМОНЧЕЛЛО;ГРУША ГОРГОНЗОЛА, ПЕСОЧНОЕ ПЕЧЕНЬЕ;;
29.10.2025;Левин Роман;Проезд;Давай Покрепче;Краснодар, Северная улица, 299А;АРБУЗНАЯ ЖВАЧКА, КОКОС, ПЕРСИК ЙОГУРТ, ТРОПИЧЕСКИЙ СМУЗИ, ЯГОДНЫЙ СМУЗИ;;;
30.10.2025;Хренов Данил;Проезд;Shantaram;Кадетская линия В.О., 19;;ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧЕРНОСЛИВ КЕДР;;
30.10.2025;Хренов Данил;Проезд;Homie;Литейный проспект, 17-19;;ЁЛКИ ЯГОДЫ АНАНАС;;ГРЕЦКИЙ
30.10.2025;Хренов Данил;Проезд;Monterey lounge ;Большой проспект Петроградской стороны, 84;;;;
30.10.2025;Хренов Данил;Проезд;Особняк мастера ;Миклухо-Маклая набережная, 1 к1 ст1;;ГОЛУБИКА, ПЕСОЧНОЕ ПЕЧЕНЬЕ;;
30.10.2025;Хренов Данил;Проезд;Freedым;Большой П.С. проспект, 27;АПЕЛЬСИН, ДЫНЯ, КОКОС, КОЛА, КРАСНЫЙ ВИНОГРАД, ЛИМОНЧЕЛЛО, МАНГО, КИСЛАЯ БУЗИНА;ВИШНЁВЫЙ СОК, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША ГОРГОНЗОЛА, КАРАМЕЛЬ ЦИТРУС, КЛУБНИКА ОГУРЕЦ, МАРАСКИНО ЧЕРРИ, СМОРОДИНА ЧАБРЕЦ, ЧЕРНОСЛИВ КЕДР;;БАЗА, ГРЕЦКИЙ, ДЖИН, ЗЕМЛЯНИКА, КАРАМЕЛЬ, МАЛИНА, ЛАЙМ, АБСЕНТ
30.10.2025;Одинцов Александр;Проезд;Глубина;Машиностроителей 2б;;;;
30.10.2025;Дмитрий Мальков;Проезд;Mos Lounge & Bar;Москва, Енисейская улица, 5, корп. 2, 129344 • этаж 2;КЛУБНИКА, ЛИМОНЧЕЛЛО, ПЕРСИК ЙОГУРТ, СЛИВОЧНЫЙ КРЕМ, ХВОЯ, ЧЕРНИЧНЫЙ СОРБЕТ, PINK SHOT, SUPER ICE, ЛАЙМ;БАЗИЛИК ЛАЙМ, БАРБАРИС, ВИШНЕВАЯ ГАЗИРОВКА, ГАСПАЧО, КОКОС, ЛАВАНДОВЫЙ ТОНИК, ЛИМОНЧЕЛЛО, МАРАСКИНО ЧЕРРИ, МУЛЬТИФРУКТ, ПЕРСИК, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ПОСЛЕДНИЙ САМУРАЙ (ВАНИЛЬ ВИШНЯ ЖАСМИН), СМОРОДИНА КРЫЖОВНИК, ФРУКТОВАЯ КОНФЕТА, ЯГОДНЫЙ МИЛКШЕЙК, SWITTLES (ФРУКТОВОЕ ДРАЖЕ), АРБУЗ ДЫНЯ, КИСЛЫЙ ЯГОДНЫЙ;АНАНАС, АРБУЗ, ГВОЗДИКА, ГОЛУБИКА, ГРЕЙПФРУТ, ЗЕЛЕНЫЙ ЧАЙ, ЗЕМЛЯНИКА ЛЕМОНГРАСС, КИСЛАЯ МАЛИНА, КОРИЦА, ЛАВАНДА, ЛЕДЕНЦЫ ЛИМОН ДЫНЯ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, СЛИВА АБРИКОС, УРАЛ, ЧЁРНАЯ СМОРОДИНА, ЧЕРНИКА РОМАШКА, ЧУПА ЭНЕРДЖИ, SWITTLES( ФРУКТОВОЕ ДРАЖЕ);АНАНАС, БАЗА, ГРЕЦКИЙ, ДЖИН, КАРАМЕЛЬ, МАНГО, МОРКОВНЫЙ ФРЕШ, ЧЁРНЫЙ ПЕРЕЦ, МАРАКУЙЯ, ЛАЙМ, ВИНОГРАД
30.10.2025;Эдуард Цепелев;Проезд;Bulvar;Пермь, улица Белинского, 48, 614010;;ГРУША ГОРГОНЗОЛА, КОКОС;АРБУЗ, ЗЕМЛЯНИКА ЛЕМОНГРАСС;
30.10.2025;Кравцов Денис;Проезд;Эмбер Лаундж;ул. Юннатов, 11, Химки, ;;ЗЕЛЕНЫЙ ЧАЙ, ЗЕМЛЯНИКА, КИВИ СЕЛЬДЕРЕЙ, МАНГО КИВИ, МАНДАРИН, ЯГОДНЫЙ МИЛКШЕЙК, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);;
30.10.2025;Кравцов Денис;Проезд;Кусты лаунж;ул. Октября, 3, 143965;;ПЕСОЧНОЕ ПЕЧЕНЬЕ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);;
30.10.2025;Кравцов Денис;Проезд;Нирвана лаунж;ул. имени Академика В.Н. Челомея, 11, 143962 • этаж цокольный;;;;
30.10.2025;Кравцов Денис;Проезд;Сад лаунж;Юбилейный просп., 57 • этаж 2;;АНАНАC ФЕЙХОА, ВИШНЁВЫЙ СОК, ЛАВАНДА ФЕЙХОА, ЛИМОНЧЕЛЛО;;
30.10.2025;Кравцов Денис;Проезд;Jellyfish;Окская ул., 7А;;АЛОЭ КЛУБНИКА, ГАСПАЧО, ГОЛУБИКА, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША ГОРГОНЗОЛА, ДЫНЯ ЙОГУРТ, КОКОС, ЛАВАНДОВЫЙ ТОНИК, ЛИМОНЧЕЛЛО, ПЕСОЧНОЕ ПЕЧЕНЬЕ, СМОРОДИНА ЧАБРЕЦ, ЧЕРЁМУХА;;
30.10.2025;Кравцов Денис;Проезд;Tangiers Lounge;Москва, улица Вильгельма Пика, 11 • этаж 3;;;ГВОЗДИКА, КОРИЦА;ДЖИН
30.10.2025;Кравцов Денис;Проезд;Plata Lounge;ул. Исаковского, 33, Москва, 123181 • основной вход, ТЦ Ибица, этаж 2;ХВОЯ, PINK SHOT;АЛОЭ КЛУБНИКА, ВИШНЁВЫЙ СОК, ГОЛУБИКА, ГРЕЙПФРУТ, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ЗЕЛЁНОЕ ЯБЛОКО ( БЕЗ АНИСА), ЗЕМЛЯНИКА, ИНДИГО (ЧЕРНИКА МАЛИНА БУЗИНА), ЛАВАНДА ФЕЙХОА, ЛАВАНДОВЫЙ ТОНИК, МАРАСКИНО ЧЕРРИ, МУЛЬТИФРУКТ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ПОСЛЕДНИЙ САМУРАЙ (ВАНИЛЬ ВИШНЯ ЖАСМИН), СМОРОДИНА ЧАБРЕЦ, ЧЕРЁМУХА, ЧЕРНИКА ЙОГУРТ;ЛАВАНДА;
30.10.2025;Дмитрий Мальков;Проезд;МорокЪ Lounge;Москва, Алтуфьевское шоссе, 22Б, 127562 • вход со стороны Фонбет, этаж 1;КЛУБНИКА;БАРБАРИС, ГОЛУБИКА, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША ГОРГОНЗОЛА, ДЫНЯ ЙОГУРТ, ЗЕЛЁНОЕ ЯБЛОКО ( БЕЗ АНИСА), ИНДИГО (ЧЕРНИКА МАЛИНА БУЗИНА), КАКТУС ПОМЕЛО, ЛАВАНДА ФЕЙХОА, ЛИМОНЧЕЛЛО, МАРАКУЙЯ, ПЕРСИК, ПЕСОЧНОЕ ПЕЧЕНЬЕ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);;
30.10.2025;Кравцов Денис;Проезд;Dd Lounge;Таллинская ул., 14, Москва, 123458 • этаж 2;АПЕЛЬСИН, ЛИМОН, ПЕРСИК ЙОГУРТ, СЛИВОЧНЫЙ КРЕМ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ;АЛОЭ КЛУБНИКА, БАРБАРИС, ВИШНЁВЫЙ СОК, ВИНОГРАДНЫЙ НАПИТОК, ГАСПАЧО, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША ГОРГОНЗОЛА, ДЫНЯ ЙОГУРТ, ЗЕЛЕНЫЙ ЧАЙ, ЗЕМЛЯНИКА, КОЛА КАРАМЕЛЬ, ЛАВАНДА ФЕЙХОА, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ПОСЛЕДНИЙ САМУРАЙ (ВАНИЛЬ ВИШНЯ ЖАСМИН), СМОРОДИНА КРЫЖОВНИК, СМОРОДИНА ЧАБРЕЦ, ЧУПА ЭНЕРДЖИ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);СЛИВА АБРИКОС, УРАЛ, ЧЁРНАЯ СМОРОДИНА;ДЖИН, ЗЕМЛЯНИКА, КАРАМЕЛЬ, МАЛИНА, МАНГО
30.10.2025;Эдуард Цепелев;Проезд;All Stars;Пермь, улица Чернышевского, 28, 614002;МАЛИНА, МАНГО, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ;;КОРИЦА, ЛАВАНДА, ПЕСОЧНОЕ ПЕЧЕНЬЕ;
30.10.2025;Кравцов Денис;Проезд;HookahPlace Studio;Москва, Осенний бульвар, 10;;;;
30.10.2025;Голев Вадим;Проезд;Ellipse;Улица Толмачёва, 16;АПЕЛЬСИН, ДЫНЯ, КИСЛАЯ СМОРОДИНА, КОЛА, КРАСНЫЙ ВИНОГРАД, ЛИМОНЧЕЛЛО, МАЛИНА, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ, PINK SHOT, КИСЛАЯ БУЗИНА, ЛАЙМ, КИВИ;ГАСПАЧО, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША ГОРГОНЗОЛА, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ПОСЛЕДНИЙ САМУРАЙ (ВАНИЛЬ ВИШНЯ ЖАСМИН), САХАРНАЯ КЛЮКВА, ЧЕРЁМУХА, ЧЕРНОСЛИВ КЕДР, ЧУПА ЭНЕРДЖИ, ЯГОДНЫЙ МИЛКШЕЙК, КИСЛЫЙ ЯГОДНЫЙ;ГВОЗДИКА, КОРИЦА;АНАНАС, МАНГО
30.10.2025;Дмитрий Мальков;Проезд;Otrada Lounge;Москва, Алтуфьевское шоссе, 28;;;АНАНАС, ЗЕМЛЯНИКА ЛЕМОНГРАСС, ЛЕДЕНЦЫ ЛИМОН ДЫНЯ, SWITTLES( ФРУКТОВОЕ ДРАЖЕ);
30.10.2025;Голев Вадим;Проезд;Pereplёt;Проспект Ленина, 49;БЕЛЬГИЙСКИЕ ВАФЛИ, КЛУБНИЧНЫЙ МИЛФЕЙ;АЛОЭ КЛУБНИКА, ГАСПАЧО, ГОЛУБИКА, КИСЛЫЙ ЯГОДНЫЙ;;
30.10.2025;Голев Вадим;Проезд;Vhbar;Проспект Ленина, 48;;;;
30.10.2025;Голев Вадим;Проезд;Берлога;БЦ Высоцкий, улица Малышева, 51;ЛИМОНЧЕЛЛО;КОЛА КАРАМЕЛЬ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);ГВОЗДИКА, КОРИЦА;
30.10.2025;Голев Вадим;Проезд;НеЧайная;Улица Малышева, 76;;;;
30.10.2025;Левин Роман;Проезд;Чиллдом;Краснодар, Уральская улица, 166/2, 350080 • этаж 1;;;;
30.10.2025;Голев Вадим;Проезд;Move hookah club;Улица Белинского, 30;АПЕЛЬСИН, ДЫНЯ, ЛИМОНЧЕЛЛО, МАЛИНА, МАНГО, ТРОПИЧЕСКИЙ СМУЗИ, ЧЕРНИЧНЫЙ СОРБЕТ, PINK SHOT;ГАСПАЧО, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), КИВИ СЕЛЬДЕРЕЙ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧЕРЁМУХА, ЧУПА ЭНЕРДЖИ;УРАЛ;
30.10.2025;Голев Вадим;Проезд;Gaudi;ЖК Clever Park, улица Ткачей, 17;АПЕЛЬСИН, ДЫНЯ, КИСЛАЯ СМОРОДИНА, КРАСНЫЙ ВИНОГРАД, МАНГО, ПЕРСИК ЙОГУРТ, СЛИВОЧНЫЙ КРЕМ, ХВОЯ, PINK SHOT, ЛАЙМ, КИВИ;АЛОЭ КЛУБНИКА, ВИНОГРАД МЯТА, ГАСПАЧО, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША ГОРГОНЗОЛА, ЛАВАНДА ФЕЙХОА, ПЕСОЧНОЕ ПЕЧЕНЬЕ, САХАРНАЯ КЛЮКВА, ЧЕРЁМУХА;ГВОЗДИКА, КОРИЦА, СЛИВА АБРИКОС;
30.10.2025;Голев Вадим;Проезд;Hills;Улица Малышева, 56;АРБУЗНАЯ ЖВАЧКА, КИСЛАЯ СМОРОДИНА, КЛУБНИКА, ЧЕРНИЧНЫЙ СОРБЕТ;МЯТНАЯ КОНФЕТА, ПЕСОЧНОЕ ПЕЧЕНЬЕ;;
30.10.2025;Левин Роман;Проезд;Лайм Lounge;Краснодар, Уральская улица, 162/7;КИСЛАЯ СМОРОДИНА, КРАСНЫЙ ВИНОГРАД, МАЛИНА, МАНГО, ТРОПИЧЕСКИЙ СМУЗИ, ЧЕРНИЧНЫЙ СОРБЕТ, ЛАЙМ, КИВИ;;УРАЛ;
31.10.2025;Дмитрий Мальков;Проезд;Misty Wood;Москва, проспект Мира, 118;;АЛОЭ КЛУБНИКА, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), КИВИ СЕЛЬДЕРЕЙ, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧЕРЁМУХА;;ДЖИН, ЧЁРНЫЙ ПЕРЕЦ
31.10.2025;Эдуард Цепелев;Проезд;Монтана;Пермь, улица Луначарского, 55 • этаж 2;АРБУЗНАЯ ЖВАЧКА, КОКОС, ЛИМОНЧЕЛЛО, ТРОПИЧЕСКИЙ СМУЗИ, ЧЕРНИЧНЫЙ СОРБЕТ, PINK SHOT, ЛАЙМ;;;КАРАМЕЛЬ
31.10.2025;Эдуард Цепелев;Проезд;Billy Milligan;Пермь, улица Луначарского, 55;КОКОС, ТРОПИЧЕСКИЙ СМУЗИ, ХВОЯ;;ЗЕМЛЯНИКА ЛЕМОНГРАСС, КОРИЦА, ЛАВАНДА;ДЖИН, КАРАМЕЛЬ
31.10.2025;Дмитрий Мальков;Проезд;Дубай;Московская область, Мытищи, улица Белобородова, 15 • этаж цокольный;АПЕЛЬСИН, КЛУБНИКА, МАНГО;ДЫНЯ ЙОГУРТ, ЗЕЛЕНЫЙ ЧАЙ, КИВИ СЕЛЬДЕРЕЙ, ЛАВАНДОВЫЙ ТОНИК, ПЕСОЧНОЕ ПЕЧЕНЬЕ, СМОРОДИНА ЧАБРЕЦ, ЧЕРЁМУХА;КОРИЦА, ЧУПА ЭНЕРДЖИ;
31.10.2025;Голев Вадим;Проезд;HookahPlace RockStar;ДЦ Маршал, улица Шейнкмана, 9;АПЕЛЬСИН, КОЛА, ЛИМОН, МАЛИНА, ХВОЯ;ГАСПАЧО, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ПОСЛЕДНИЙ САМУРАЙ (ВАНИЛЬ ВИШНЯ ЖАСМИН);;КАРАМЕЛЬ
31.10.2025;Голев Вадим;Проезд;Amsterdam;Улица Декабристов, 16/18Б;;АЛОЭ КЛУБНИКА, ГАСПАЧО, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША ГОРГОНЗОЛА, ЗЕЛЁНОЕ ЯБЛОКО ( БЕЗ АНИСА), КИВИ СЕЛЬДЕРЕЙ, ЛАВАНДА ФЕЙХОА, ЧЕРЁМУХА, ЧУПА ЭНЕРДЖИ, ЯГОДНЫЙ МИЛКШЕЙК;;
31.10.2025;Голев Вадим;Проезд;Svoi;Улица Титова 26;ЛИМОНЧЕЛЛО, ЯГОДНЫЙ СМУЗИ;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА);ГВОЗДИКА, КОРИЦА;
31.10.2025;Кравцов Денис;Проезд;Dukh;Москва, Новослободская улица, 19, стр. 1, 127030;КИСЛАЯ СМОРОДИНА, ЛИМОНЧЕЛЛО, ЛАЙМ, МАНГО РОМАШКА;ВИШНЁВЫЙ СОК, ГАСПАЧО, ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША ГОРГОНЗОЛА, ИНДИГО (ЧЕРНИКА МАЛИНА БУЗИНА), SWITTLES (ФРУКТОВОЕ ДРАЖЕ);ГВОЗДИКА, КОРИЦА, ЛАВАНДА;ГРЕЦКИЙ, ДЖИН, ЧЁРНЫЙ ПЕРЕЦ
31.10.2025;Голев Вадим;Проезд;Музей;Улица Хохрякова, 72;КОЛА, ХВОЯ;ЯГОДНЫЙ МИЛКШЕЙК;;
01.11.2025;Эдуард Цепелев;Проезд;Мёд;Пермь, Малая Ямская улица, 10/1, 614000 • этаж 1;АПЕЛЬСИН, КЛУБНИКА;ВИШНЁВЫЙ СОК, ГРУША ГОРГОНЗОЛА;;ГРЕЦКИЙ, ДЖИН
01.11.2025;Эдуард Цепелев;Проезд;Чаша Lounge;Пермь, улица Ленина, 76, 614068 • этаж 3;ДЫНЯ, КОКОС, ЧЕРНИЧНЫЙ СОРБЕТ;КАРАМЕЛЬ ЦИТРУС, ПЕСОЧНОЕ ПЕЧЕНЬЕ, SWITTLES (ФРУКТОВОЕ ДРАЖЕ);КОРИЦА, ТОРФЯНОЙ ВИСКИ;ЧЁРНЫЙ ПЕРЕЦ
03.11.2025;Хренов Данил;Проезд;Unity_cyber_lounge;ЖК Богатырский, Коломяжский проспект, 15 к2 лит А;КОКОС;АНАНАC ФЕЙХОА, ВИШНЕВАЯ ГАЗИРОВКА, ГАСПАЧО, ЗЕЛЕНЫЙ ЧАЙ, ЗЕМЛЯНИКА, МУЛЬТИФРУКТ, ЧЕРЁМУХА;;
04.11.2025;Хренов Данил;Проезд;Безумный Лесник;Коломяжский проспект, 20;;АНАНАC, БАРБАРИС, ГРЕЙПФРУТ, ГРУША, ДЫНЯ ЙОГУРТ, КАКТУС ПОМЕЛО, КИВИ СЕЛЬДЕРЕЙ, САХАРНАЯ КЛЮКВА, SWITTLES (ФРУКТОВОЕ ДРАЖЕ), ГРАНАТ ВИНОГРАД;;
04.11.2025;Хренов Данил;Проезд;Безумный Лесник;Коломяжский проспект, 20;;АНАНАC, БАРБАРИС, ГРЕЙПФРУТ, ГРУША, ДЫНЯ ЙОГУРТ, КАКТУС ПОМЕЛО, КИВИ СЕЛЬДЕРЕЙ, САХАРНАЯ КЛЮКВА, SWITTLES (ФРУКТОВОЕ ДРАЖЕ), ГРАНАТ ВИНОГРАД;;
04.11.2025;Хренов Данил;Проезд;Безумный Лесник;Коломяжский проспект, 20;;АНАНАC, БАРБАРИС, ГРЕЙПФРУТ, ГРУША, ДЫНЯ ЙОГУРТ, КАКТУС ПОМЕЛО, КИВИ СЕЛЬДЕРЕЙ, САХАРНАЯ КЛЮКВА, SWITTLES (ФРУКТОВОЕ ДРАЖЕ), ГРАНАТ ВИНОГРАД;;
04.11.2025;Хренов Данил;Проезд;Безумный Лесник;Коломяжский проспект, 20;;АНАНАC, БАРБАРИС, ГРЕЙПФРУТ, ГРУША, ДЫНЯ ЙОГУРТ, КАКТУС ПОМЕЛО, КИВИ СЕЛЬДЕРЕЙ, САХАРНАЯ КЛЮКВА, SWITTLES (ФРУКТОВОЕ ДРАЖЕ), ГРАНАТ ВИНОГРАД;;
04.11.2025;Хренов Данил;Проезд;Безумный Лесник;Коломяжский проспект, 20;;АНАНАC, БАРБАРИС, ГРЕЙПФРУТ, ГРУША, ДЫНЯ ЙОГУРТ, КАКТУС ПОМЕЛО, КИВИ СЕЛЬДЕРЕЙ, САХАРНАЯ КЛЮКВА, SWITTLES (ФРУКТОВОЕ ДРАЖЕ), ГРАНАТ ВИНОГРАД;;
04.11.2025;Хренов Данил;Проезд;Smena teatro;Набережная канала Грибоедова, 31;;ВИШНЁВЫЙ СОК, ПЕСОЧНОЕ ПЕЧЕНЬЕ, ЧУПА ЭНЕРДЖИ;;ГРЕЦКИЙ, ДЖИН, КАРАМЕЛЬ
05.11.2025;Хренов Данил;Проезд;JohnCalliano Lounge;Невский проспект, 38;;;;
05.11.2025;Хренов Данил;Проезд;Hookah place Литейный ;Литейный проспект, 28;;;;
05.11.2025;Хренов Данил;Проезд;Freedыm;Улица Победы, 21;ДЫНЯ, КОКОС, МАЛИНА, МАНГО, ЯГОДНЫЙ СМУЗИ;ГРУТ (МОЖЖЕВЕЛЬНИК КОРА ДУБА), ГРУША ГОРГОНЗОЛА, ЗЕЛЁНОЕ ЯБЛОКО ( БЕЗ АНИСА), ЧЕРЁМУХА;АРБУЗ, ТОРФЯНОЙ ВИСКИ;
05.11.2025;Левин Роман;Проезд;Lava Lounge;Краснодар, Восточно-Кругликовская улица, 34;АПЕЛЬСИН, АРБУЗНАЯ ЖВАЧКА, КИСЛАЯ СМОРОДИНА, КЛУБНИКА, КОЛА, КРАСНЫЙ ВИНОГРАД, ЛИМОН, МАЛИНА, МАНГО, КИСЛАЯ БУЗИНА, БЕЛЬГИЙСКИЕ ВАФЛИ;КОКОС;АРБУЗ, ГРЕЙПФРУТ, ЗЕМЛЯНИКА ЛЕМОНГРАСС, КИСЛАЯ МАЛИНА, СЛИВА АБРИКОС, ЧЁРНАЯ СМОРОДИНА;
05.11.2025;Левин Роман;Проезд;Мята Платинум;Краснодар, Черкасская улица, 117 • этаж 2;АПЕЛЬСИН, ДЫНЯ, КЛУБНИКА, КОЛА, ЛИМОНЧЕЛЛО, ЧЕРНИЧНЫЙ СОРБЕТ, PINK SHOT, КЛУБНИЧНЫЙ МИЛФЕЙ;;ЧЁРНАЯ СМОРОДИНА;
05.11.2025;Левин Роман;Проезд;ОгЪни;Краснодар, Суздальская улица, 9, 350024;;;;
06.11.2025;Шарков Роман;Проезд;Пивбар;Республика Башкортостан, Уфа, улица Маршала Жукова, 29, 450105 • ТЦ Простор, этаж 3;КИСЛАЯ СМОРОДИНА, КОКОС, КОЛА, КРАСНЫЙ ВИНОГРАД, ЛИМОН, ЛИМОНЧЕЛЛО, ТРОПИЧЕСКИЙ СМУЗИ, ЯГОДНЫЙ СМУЗИ;АЛОЭ КЛУБНИКА, ГОЛУБИКА, КАКТУС ПОМЕЛО, ЛАВАНДОВЫЙ ТОНИК, ЛЕДЯНОЙ АРБУЗ;;
06.11.2025;Шарков Роман;Проезд;Юна;Республика Башкортостан, Уфа, улица Менделеева, 160/9, 450080;КИСЛАЯ СМОРОДИНА, КЛУБНИКА, КОКОС, КОЛА, ЛИМОН, МАЛИНА, МАНГО, СЛИВОЧНЫЙ КРЕМ, ЧЕРНИЧНЫЙ СОРБЕТ, КИСЛАЯ БУЗИНА, ЛАЙМ;ГОЛУБИКА, КИВИ СЕЛЬДЕРЕЙ, ПЕСОЧНОЕ ПЕЧЕНЬЕ;;
06.11.2025;Шарков Роман;Проезд;Скрудж бар;Республика Башкортостан, Уфа, улица Авроры, 2, 450092 • этаж 2;АРБУЗНАЯ ЖВАЧКА, КОЛА, МАЛИНА, ТРОПИЧЕСКИЙ СМУЗИ, ЯГОДНЫЙ СМУЗИ;ПЕСОЧНОЕ ПЕЧЕНЬЕ;;
06.11.2025;Левин Роман;Проезд;Облака & Угли;Краснодар, улица имени 40-летия Победы, 44;;;;
06.11.2025;Шарков Роман;Проезд;Дуслык;Республика Башкортостан, Уфа, улица Крупской, 9, 450008 • этаж 2;АПЕЛЬСИН, КОКОС, КОЛА, МАЛИНА, МАНГО, ТРОПИЧЕСКИЙ СМУЗИ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ, PINK SHOT, ЛАЙМ;АЛОЭ КЛУБНИКА, ЁЛКИ ЯГОДЫ АНАНАС, ЛАВАНДОВЫЙ ТОНИК, МУЛЬТИФРУКТ, ПЕСОЧНОЕ ПЕЧЕНЬЕ;;
06.11.2025;Левин Роман;Проезд;SM Lounge ;Краснодар, улица имени 40-летия Победы, 140;;АЛОЭ КЛУБНИКА, КАРАМЕЛЬ ЦИТРУС, ЧЕРЁМУХА;;
06.11.2025;Шарков Роман;Проезд;Дым;Республика Башкортостан, Уфа, улица 8 Марта, 8;ДЫНЯ, КИСЛАЯ СМОРОДИНА, КЛУБНИКА, КОЛА, КРАСНЫЙ ВИНОГРАД, МАЛИНА, МАНГО, ПЕРСИК ЙОГУРТ, ХВОЯ, PINK SHOT, КИСЛАЯ БУЗИНА, КИВИ;АЛОЭ КЛУБНИКА, КИВИ СЕЛЬДЕРЕЙ, ЛАВАНДОВЫЙ ТОНИК, МУЛЬТИФРУКТ, ПЕСОЧНОЕ ПЕЧЕНЬЕ;ЗЕЛЕНЫЙ ЧАЙ, ЧЁРНАЯ СМОРОДИНА;
06.11.2025;Левин Роман;Проезд;Давай Покрепче;Краснодар, улица имени 40-летия Победы, 148/2;АРБУЗНАЯ ЖВАЧКА, КИСЛАЯ СМОРОДИНА, КРАСНЫЙ ВИНОГРАД, ЛИМОН, ТРОПИЧЕСКИЙ СМУЗИ, ЯГОДНЫЙ СМУЗИ, PINK SHOT;;;
06.11.2025;Левин Роман;Проезд;Time Delation;Краснодар, улица имени 40-летия Победы, 65/1 • этаж 3;АРБУЗНАЯ ЖВАЧКА, КЛУБНИКА, КОКОС, ЛИМОН, ПЕРСИК ЙОГУРТ, СЛИВОЧНЫЙ КРЕМ, ЧЕРНИЧНЫЙ СОРБЕТ, ЯГОДНЫЙ СМУЗИ, PINK SHOT;;;
06.11.2025;Левин Роман;Проезд;Дымотека;Краснодар, улица Героя А.А. Аверкиева, 6;;;;
07.11.2025;Шарков Роман;Проезд;Эврен;Республика Башкортостан, городской округ Уфа, Кировский район, Верхнеторговая площадь, 6, 450077;ЛИМОН, ЛИМОНЧЕЛЛО;ЗЕЛЕНЫЙ ЧАЙ, МАНДАРИН;;
